Reference Designators,,,,Value,LCSC Part #,Datasheet,,,,,,,
,1,PCB Board,Board,,,,,,,,,,
ANT1,1,Antennas 2.45GHz ANTENNA,2450AT18B100E_ANTC3216X140N,2450AT18B100E,C2917717,https://www.lcsc.com/datasheet/C2917717.pdf,,,Top,,,,
C1,,,,,,,,,,,,,
C1-EP-DR,1,Capacitor MLCC 10uF 6.3V X5R 0402,NORDIC_NRF_3_RESC0402_L,10uF,C1691,https://www.lcsc.com/datasheet/C1691.pdf,,,Top,,,,
C2-EP-DR,1,Capacitor MLCC 4.7uF 10V X5R 0402,NORDIC_NRF_3_RESC0402_L,4.7uF/25V,C970600,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_DMBJ-RVT1E4R7M0405-4-7UF-25V_C970600.pdf,,,Top,,,,
C3,,,,,,,,,,,,,
C5,,,,,,,,,,,,,
C6,,,,,,,,,,,,,
C9,1,Capacitor MLCC 820pF 50V NP0 0201,NORDIC_NRF_3_RESC0201_L,820pF,C1543,https://www.lcsc.com/datasheet/C1543.pdf,,,Top,,,,
C10,,,,,,,,,,,,,
C11,1,Capacitor MLCC 100pF 50V NP0 0201,NORDIC_NRF_3_RESC0201_L,100pF,C1546,https://www.lcsc.com/datasheet/C1546.pdf,,,Top,,,,
C15,1,Capacitor MLCC 1uF 10V X5R 0402,NORDIC_NRF_3_RESC0402_L,1.0µF,C1592,https://www.lcsc.com/datasheet/C1592.pdf,,,Top,,,,
C16,1,Capacitor MLCC 47nF 50V X7R 0201,NORDIC_NRF_3_RESC0201_L,47nF,C1622,https://www.lcsc.com/datasheet/C1622.pdf,,,Top,,,,
C23,,,,,,,,,,,,,
C24,1,Capacitor MLCC 10uF 6.3V X5R 0402,NORDIC_NRF_3_RESC0201_L,10uF,C1691,https://www.lcsc.com/datasheet/C1691.pdf,,,Top,,,,
C25,,,,,,,,,,,,,
C29,,,,,,,,,,,,,
C39,1,0402 (1005 Metric),PERFECT_0402_0402,10uF,C1691,https://www.lcsc.com/datasheet/C1691.pdf,,,Top,,,,
C43,1,Capacitor MLCC 4.7uF 10V X5R 0402,NORDIC_NRF_3_RESC0402_L,4.7uF,C1705,https://www.lcsc.com/datasheet/C1705.pdf,,,Top,,,,
D2,,,,,,,,,,,,,
D3,1,Low Cap. ESD Protection Auto SOT-23-6 STMicroelectronics USBLC6-2SC6Y,,,,,,,,,,,
EPD_C1,,,,,,,,,,,,,
EPD_C5,1,,NORDIC_NRF_3_RESC0201_L,0.1uF/50V,C45091,,,,Top,,,,
EPD_C6,,,,,,,,,,,,,
IC1,1,Charger IC Lithium Ion/Polymer,,,C3682423,https://www.ti.com/cn/lit/ds/symlink/bq25180.pdf?ts=1775768717640,,,,,,,
IC2,1,Haptic Driver for ERM/LRA with Built-In Library and Smart Loop Architecture,DRV2605YZFR_BGA9C50P3X3_144X144X62,DRV2605YZFR,C136477,https://www.ti.com/lit/ds/symlink/drv2605l.pdf,,,Top,,,,
IC3,1,Accelerometers Triaxial low-g 12bit Acceleration Sensor,BMA423_BMA423,BMA421,C5242966,https://www.lcsc.com/product-detail/C5242966.html,,,Top,,,,
IC9,1,Buck-Boost Regulator Positive Output Step-Up/Step-Down I2C DC-DC Controller IC 15-WL-CSP (BSC) (1.4x2.3),RT6160AWSC_BGA15C40P3X5_140X230X60,RT6160AWSC,C7065276,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312271436_Richtek-Tech-RT6160AWSC_C7065276.pdf,,,Top,,,,
J1,1,FFC & FPC Connectors 0.5mm FPC RA SMT Dual Contact 24Ckt,503480-2400_5034802400,503480-2400,C122434,https://www.lcsc.com/datasheet/C122434.pdf,,,Top,,,,
J2,1,CABLE ADAPTER 6 POS,TC2030-IDC_TC2030IDC,TC2030-IDC,C5444772,https://www.lcsc.com/datasheet/C5444772.pdf,,,Top,,,,
J4,1,Check availability,KINGHELM_KH-TYPE-C-16P,KH-TYPE-C-16P,C709357,https://www.lcsc.com/datasheet/C709357.pdf,,,Top,,,,
L1,1,Inductor 3.9nH RF 0402,NORDIC_NRF_2_RESC0402_L,3.9nH,C14033,https://www.lcsc.com/,,,Top,,,,
L2,1,Inductor 10uH Power 0402,NORDIC_NRF_2_RESC0402_L,10ÂµH,C910650,https://www.lcsc.com/datasheet/C910650.pdf,,,Top,,,,
L3,1,Inductor 15nH RF 0402,NORDIC_NRF_2_RESC0402_L,15nH,C91621,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2302231008_Murata-Electronics-LQW15AN15NH00D_C91621.pdf,,,Top,,,,
L5,1,,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE,68uH,C9166,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2108131530_SXN-Shun-Xiang-Nuo-Elec-SM5845-680MT_C9166.pdf,,,Top,,,,
L7,1,SMD / SMT Inductors (Coils),,,C326179,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_3L-COILS-SMTDR32-1R2M_C326179.pdf,,,,,,,
Q1,1,P-channel MOSFETs,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,20V/4.2A/52mÎ©/1.4W,C112238,https://www.lcsc.com/datasheet/C112238.pdf,,,Top,,,,
Q3,1,MOSFET N-Ch 30V 1.5A TrenchFET SC70 Vishay Si1308EDL-T1-GE3 N-channel MOSFET Transistor,,,C7603347,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2309061012_TECH-PUBLIC-SI1308EDL_C7603347.pdf,,,,,,,
R_PWR_EPD,,,,,,,,,,,,,
R_TYPE_SEL,1,7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1,CPF0201D7K68C1_0201,2.2,C25054,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-0201WMJ010JTEE_C25054.pdf,,,Top,,,,
R1_EP_ED,1,7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1,CPF0201D7K68C1_0201,0.47,C25054,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-0201WMJ010JTEE_C25054.pdf,,,Top,,,,
R1_USB,,,,,,,,,,,,,
R2,,,,,,,,,,,,,
R3,1,7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1,R0201,0,C25054,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-0201WMJ010JTEE_C25054.pdf,,,Top,,,,
R5,,,,,,,,,,,,,
R9,1,7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1,R0201,10K,C100126,https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_LIZ-Elec-CR0201FH1002G_C100126.pdf,,,Top,,,,
R17,,,,,,,,,,,,,
SJ1,1,SMD solder JUMPER,JUMPER_SJ,N.C,C2940092,,,,Top,,,,
SW_DN,,,,,,,,,,,,,
TP_3.3V,,,,,,,,,,, TP_SWO, TP_VBAT, TP_VREG;14;Test pad;HECTOR_WATCH_1_TP20R;HECTOR_WATCH_1_TPTP20R;;;;;Top;
U1,1,nRF52840,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N,NRF52840_QF,C190794,https://www.lcsc.com/datasheet/C190794.pdf,,,Top,,,,
U3,1,Fuel Gauge MAX17048,SON50P200X200X80-9N,MAX17048G+T10,C2682616,https://www.lcsc.com/datasheet/C2682616.pdf,,,Top,,,,
X1,1,Crystal 32MHz,NORDIC_NRF_BT-XTAL_2016_N,32MHz,C5441424,,,,Top,,,,
X2,1,Crystal 32.768kHz,NORDIC_NRF_1_XTAL_3215_N,32.768kHz,C70509,https://www.lcsc.com/datasheet/C70509.pdf,,,Top,,,,
